# This file has calculated legendre symbols (m/n)
# for 2 <= m, n <= 100, and n odd prime.
# The outputs look like [ m, n, legendre(m,n) ]
[ 5, 23, -1 ]
[ 5, 29, 1 ]
[ 5, 31, 1 ]
[ 5, 37, -1 ]
[ 5, 41, 1 ]
[ 5, 43, -1 ]
[ 5, 47, -1 ]
[ 5, 53, -1 ]
[ 5, 59, 1 ]
[ 5, 61, 1 ]
[ 5, 67, -1 ]
[ 5, 71, 1 ]
[ 5, 73, -1 ]
[ 5, 79, 1 ]
[ 5, 83, -1 ]
[ 5, 89, 1 ]
[ 5, 97, -1 ]
[ 6, 3, 0 ]
[ 6, 5, 1 ]
[ 6, 7, -1 ]
[ 6, 11, -1 ]
[ 6, 13, -1 ]
[ 6, 17, -1 ]
[ 6, 19, 1 ]
[ 6, 23, 1 ]
[ 6, 29, 1 ]
[ 6, 31, -1 ]
[ 6, 37, -1 ]
[ 6, 41, -1 ]
[ 6, 43, 1 ]
[ 6, 47, 1 ]
[ 6, 53, 1 ]
[ 6, 59, -1 ]
[ 6, 61, -1 ]
[ 6, 67, 1 ]
[ 6, 71, 1 ]
[ 6, 73, 1 ]
[ 6, 79, -1 ]
[ 6, 83, -1 ]
[ 6, 89, -1 ]
[ 6, 97, 1 ]
[ 7, 3, 1 ]
[ 7, 5, -1 ]
[ 7, 7, 0 ]
[ 7, 11, -1 ]
[ 7, 13, -1 ]
[ 7, 17, -1 ]
[ 7, 19, 1 ]
[ 7, 23, -1 ]
[ 7, 29, 1 ]
[ 7, 31, 1 ]
[ 7, 37, 1 ]
[ 7, 41, -1 ]
[ 7, 43, -1 ]
[ 7, 47, 1 ]
[ 7, 53, 1 ]
[ 7, 59, 1 ]
[ 7, 61, -1 ]
[ 7, 67, -1 ]
[ 7, 71, -1 ]
[ 7, 73, -1 ]
[ 7, 79, -1 ]
[ 7, 83, 1 ]
[ 7, 89, -1 ]
[ 7, 97, -1 ]
[ 8, 3, -1 ]
[ 8, 5, -1 ]
[ 8, 7, 1 ]
[ 8, 11, -1 ]
[ 8, 13, -1 ]
[ 8, 17, 1 ]
[ 8, 19, -1 ]
[ 8, 23, 1 ]
[ 8, 29, -1 ]
[ 8, 31, 1 ]
[ 8, 37, -1 ]
[ 8, 41, 1 ]
[ 8, 43, -1 ]
[ 8, 47, 1 ]
[ 8, 53, -1 ]
[ 8, 59, -1 ]
[ 8, 61, -1 ]
[ 8, 67, -1 ]
[ 8, 71, 1 ]
[ 8, 73, 1 ]
[ 8, 79, 1 ]
[ 8, 83, -1 ]
[ 8, 89, 1 ]
[ 8, 97, 1 ]
[ 9, 3, 0 ]
[ 9, 5, 1 ]
[ 9, 7, 1 ]
[ 9, 11, 1 ]
[ 9, 13, 1 ]
[ 9, 17, 1 ]
[ 9, 19, 1 ]
[ 9, 23, 1 ]
[ 9, 29, 1 ]
[ 9, 31, 1 ]
[ 9, 37, 1 ]
[ 9, 41, 1 ]
[ 9, 43, 1 ]
[ 9, 47, 1 ]
[ 9, 53, 1 ]
[ 9, 59, 1 ]
[ 9, 61, 1 ]
[ 9, 67, 1 ]
[ 9, 71, 1 ]
[ 9, 73, 1 ]
[ 9, 79, 1 ]
[ 9, 83, 1 ]
[ 9, 89, 1 ]
[ 9, 97, 1 ]
[ 10, 3, 1 ]
[ 10, 5, 0 ]
[ 10, 7, -1 ]
[ 10, 11, -1 ]
[ 10, 13, 1 ]
[ 10, 17, -1 ]
[ 10, 19, -1 ]
[ 10, 23, -1 ]
[ 10, 29, -1 ]
[ 10, 31, 1 ]
[ 10, 37, 1 ]
[ 10, 41, 1 ]
[ 10, 43, 1 ]
[ 10, 47, -1 ]
[ 10, 53, 1 ]
[ 10, 59, -1 ]
[ 10, 61, -1 ]
[ 10, 67, 1 ]
[ 10, 71, 1 ]
[ 10, 73, -1 ]
[ 10, 79, 1 ]
[ 10, 83, 1 ]
[ 10, 89, 1 ]
[ 10, 97, -1 ]
[ 11, 3, -1 ]
[ 11, 5, 1 ]
[ 11, 7, 1 ]
[ 11, 11, 0 ]
[ 11, 13, -1 ]
[ 11, 17, -1 ]
[ 11, 19, 1 ]
[ 11, 23, -1 ]
[ 11, 29, -1 ]
[ 11, 31, -1 ]
[ 11, 37, 1 ]
[ 11, 41, -1 ]
[ 11, 43, 1 ]
[ 11, 47, -1 ]
[ 11, 53, 1 ]
[ 11, 59, -1 ]
[ 11, 61, -1 ]
[ 11, 67, -1 ]
[ 11, 71, -1 ]
[ 11, 73, -1 ]
[ 11, 79, 1 ]
[ 11, 83, 1 ]
[ 11, 89, 1 ]
[ 11, 97, 1 ]
[ 12, 3, 0 ]
[ 12, 5, -1 ]
[ 12, 7, -1 ]
[ 12, 11, 1 ]
[ 12, 13, 1 ]
[ 12, 17, -1 ]
[ 12, 19, -1 ]
[ 12, 23, 1 ]
[ 12, 29, -1 ]
[ 12, 31, -1 ]
[ 12, 37, 1 ]
[ 12, 41, -1 ]
[ 12, 43, -1 ]
[ 12, 47, 1 ]
[ 12, 53, -1 ]
[ 12, 59, 1 ]
[ 12, 61, 1 ]
[ 12, 67, -1 ]
[ 12, 71, 1 ]
[ 12, 73, 1 ]
[ 12, 79, -1 ]
[ 12, 83, 1 ]
[ 12, 89, -1 ]
[ 12, 97, 1 ]
[ 13, 3, 1 ]
[ 13, 5, -1 ]
[ 13, 7, -1 ]
[ 13, 11, -1 ]
[ 13, 13, 0 ]
[ 13, 17, 1 ]
[ 13, 19, -1 ]
[ 13, 23, 1 ]
[ 13, 29, 1 ]
[ 13, 31, -1 ]
[ 13, 37, -1 ]
[ 13, 41, -1 ]
[ 13, 43, 1 ]
[ 13, 47, -1 ]
[ 13, 53, 1 ]
[ 13, 59, -1 ]
[ 13, 61, 1 ]
[ 13, 67, -1 ]
[ 13, 71, -1 ]
[ 13, 73, -1 ]
[ 13, 79, 1 ]
[ 13, 83, -1 ]
[ 13, 89, -1 ]
[ 13, 97, -1 ]
[ 14, 3, -1 ]
[ 14, 5, 1 ]
[ 14, 7, 0 ]
[ 14, 11, 1 ]
[ 14, 13, 1 ]
[ 14, 17, -1 ]
[ 14, 19, -1 ]
[ 14, 23, -1 ]
[ 14, 29, -1 ]
[ 14, 31, 1 ]
[ 14, 37, -1 ]
[ 14, 41, -1 ]
[ 14, 43, 1 ]
[ 14, 47, 1 ]
[ 14, 53, -1 ]
[ 14, 59, -1 ]
[ 14, 61, 1 ]
[ 14, 67, 1 ]
[ 14, 71, -1 ]
[ 14, 73, -1 ]
[ 14, 79, -1 ]
[ 14, 83, -1 ]
[ 14, 89, -1 ]
[ 14, 97, -1 ]
[ 15, 3, 0 ]
[ 15, 5, 0 ]
[ 15, 7, 1 ]
[ 15, 11, 1 ]
[ 15, 13, -1 ]
[ 15, 17, 1 ]
[ 15, 19, -1 ]
[ 15, 23, -1 ]
[ 15, 29, -1 ]
[ 15, 31, -1 ]
[ 15, 37, -1 ]
[ 15, 41, -1 ]
[ 15, 43, 1 ]
[ 15, 47, -1 ]
[ 15, 53, 1 ]
[ 15, 59, 1 ]
[ 15, 61, 1 ]
[ 15, 67, 1 ]
[ 15, 71, 1 ]
[ 15, 73, -1 ]
[ 15, 79, -1 ]
[ 15, 83, -1 ]
[ 15, 89, -1 ]
[ 15, 97, -1 ]
[ 16, 3, 1 ]
[ 16, 5, 1 ]
[ 16, 7, 1 ]
[ 16, 11, 1 ]
[ 16, 13, 1 ]
[ 16, 17, 1 ]
[ 16, 19, 1 ]
[ 16, 23, 1 ]
[ 16, 29, 1 ]
[ 16, 31, 1 ]
[ 16, 37, 1 ]
[ 16, 41, 1 ]
[ 16, 43, 1 ]
[ 16, 47, 1 ]
[ 16, 53, 1 ]
[ 16, 59, 1 ]
[ 16, 61, 1 ]
[ 16, 67, 1 ]
[ 16, 71, 1 ]
[ 16, 73, 1 ]
[ 16, 79, 1 ]
[ 16, 83, 1 ]
[ 16, 89, 1 ]
[ 16, 97, 1 ]
[ 17, 3, -1 ]
[ 17, 5, -1 ]
[ 17, 7, -1 ]
[ 17, 11, -1 ]
[ 17, 13, 1 ]
[ 17, 17, 0 ]
[ 17, 19, 1 ]
[ 17, 23, -1 ]
[ 17, 29, -1 ]
[ 17, 31, -1 ]
[ 17, 37, -1 ]
[ 17, 41, -1 ]
[ 17, 43, 1 ]
[ 17, 47, 1 ]
[ 17, 53, 1 ]
[ 17, 59, 1 ]
[ 17, 61, -1 ]
[ 17, 67, 1 ]
[ 17, 71, -1 ]
[ 17, 73, -1 ]
[ 17, 79, -1 ]
[ 17, 83, 1 ]
[ 17, 89, 1 ]
[ 17, 97, -1 ]
[ 18, 3, 0 ]
[ 18, 5, -1 ]
[ 18, 7, 1 ]
[ 18, 11, -1 ]
[ 18, 13, -1 ]
[ 18, 17, 1 ]
[ 18, 19, -1 ]
[ 18, 23, 1 ]
[ 18, 29, -1 ]
[ 18, 31, 1 ]
[ 18, 37, -1 ]
[ 18, 41, 1 ]
[ 18, 43, -1 ]
[ 18, 47, 1 ]
[ 18, 53, -1 ]
[ 18, 59, -1 ]
[ 18, 61, -1 ]
[ 18, 67, -1 ]
[ 18, 71, 1 ]
[ 18, 73, 1 ]
[ 18, 79, 1 ]
[ 18, 83, -1 ]
[ 18, 89, 1 ]
[ 18, 97, 1 ]
[ 19, 3, 1 ]
[ 19, 5, 1 ]
[ 19, 7, -1 ]
[ 19, 11, -1 ]
[ 19, 13, -1 ]
[ 19, 17, 1 ]
[ 19, 19, 0 ]
[ 19, 23, -1 ]
[ 19, 29, -1 ]
[ 19, 31, 1 ]
[ 19, 37, -1 ]
[ 19, 41, -1 ]
[ 19, 43, -1 ]
[ 19, 47, -1 ]
[ 19, 53, -1 ]
[ 19, 59, 1 ]
[ 19, 61, 1 ]
[ 19, 67, 1 ]
[ 19, 71, 1 ]
[ 19, 73, 1 ]
[ 19, 79, 1 ]
[ 19, 83, -1 ]
[ 19, 89, -1 ]
[ 19, 97, -1 ]
[ 20, 3, -1 ]
[ 20, 5, 0 ]
[ 20, 7, -1 ]
[ 20, 11, 1 ]
[ 20, 13, -1 ]
[ 20, 17, -1 ]
[ 20, 19, 1 ]
[ 20, 23, -1 ]
[ 20, 29, 1 ]
[ 20, 31, 1 ]
[ 20, 37, -1 ]
[ 20, 41, 1 ]
[ 20, 43, -1 ]
[ 20, 47, -1 ]
[ 20, 53, -1 ]
[ 20, 59, 1 ]
[ 20, 61, 1 ]
[ 20, 67, -1 ]
[ 20, 71, 1 ]
[ 20, 73, -1 ]
[ 20, 79, 1 ]
[ 20, 83, -1 ]
[ 20, 89, 1 ]
[ 20, 97, -1 ]
[ 21, 3, 0 ]
[ 21, 5, 1 ]
[ 21, 7, 0 ]
[ 21, 11, -1 ]
[ 21, 13, -1 ]
[ 21, 17, 1 ]
[ 21, 19, -1 ]
[ 21, 23, -1 ]
[ 21, 29, -1 ]
[ 21, 31, -1 ]
[ 21, 37, 1 ]
[ 21, 41, 1 ]
[ 21, 43, 1 ]
[ 21, 47, 1 ]
[ 21, 53, -1 ]
[ 21, 59, 1 ]
[ 21, 61, -1 ]
[ 21, 67, 1 ]
[ 21, 71, -1 ]
[ 21, 73, -1 ]
[ 21, 79, 1 ]
[ 21, 83, 1 ]
[ 21, 89, 1 ]
[ 21, 97, -1 ]
[ 22, 3, 1 ]
[ 22, 5, -1 ]
[ 22, 7, 1 ]
[ 22, 11, 0 ]
[ 22, 13, 1 ]
[ 22, 17, -1 ]
[ 22, 19, -1 ]
[ 22, 23, -1 ]
[ 22, 29, 1 ]
[ 22, 31, -1 ]
[ 22, 37, -1 ]
[ 22, 41, -1 ]
[ 22, 43, -1 ]
[ 22, 47, -1 ]
[ 22, 53, -1 ]
[ 22, 59, 1 ]
[ 22, 61, 1 ]
[ 22, 67, 1 ]
[ 22, 71, -1 ]
[ 22, 73, -1 ]
[ 22, 79, 1 ]
[ 22, 83, -1 ]
[ 22, 89, 1 ]
[ 22, 97, 1 ]
[ 23, 3, -1 ]
[ 23, 5, -1 ]
[ 23, 7, 1 ]
[ 23, 11, 1 ]
[ 23, 13, 1 ]
[ 23, 17, -1 ]
[ 23, 19, 1 ]
[ 23, 23, 0 ]
[ 23, 29, 1 ]
[ 23, 31, -1 ]
[ 23, 37, -1 ]
[ 23, 41, 1 ]
[ 23, 43, 1 ]
[ 23, 47, -1 ]
[ 23, 53, -1 ]
[ 23, 59, -1 ]
[ 23, 61, -1 ]
[ 23, 67, 1 ]
[ 23, 71, -1 ]
[ 23, 73, 1 ]
[ 23, 79, 1 ]
[ 23, 83, 1 ]
[ 23, 89, -1 ]
[ 23, 97, -1 ]
[ 24, 3, 0 ]
[ 24, 5, 1 ]
[ 24, 7, -1 ]
[ 24, 11, -1 ]
[ 24, 13, -1 ]
[ 24, 17, -1 ]
[ 24, 19, 1 ]
[ 24, 23, 1 ]
[ 24, 29, 1 ]
[ 24, 31, -1 ]
[ 24, 37, -1 ]
[ 24, 41, -1 ]
[ 24, 43, 1 ]
[ 24, 47, 1 ]
[ 24, 53, 1 ]
[ 24, 59, -1 ]
[ 24, 61, -1 ]
[ 24, 67, 1 ]
[ 24, 71, 1 ]
[ 24, 73, 1 ]
[ 24, 79, -1 ]
[ 24, 83, -1 ]
[ 24, 89, -1 ]
[ 24, 97, 1 ]
[ 25, 3, 1 ]
[ 25, 5, 0 ]
[ 25, 7, 1 ]
[ 25, 11, 1 ]
[ 25, 13, 1 ]
[ 25, 17, 1 ]
[ 25, 19, 1 ]
[ 25, 23, 1 ]
[ 25, 29, 1 ]
[ 25, 31, 1 ]
[ 25, 37, 1 ]
[ 25, 41, 1 ]
[ 25, 43, 1 ]
[ 25, 47, 1 ]
[ 25, 53, 1 ]
[ 25, 59, 1 ]
[ 25, 61, 1 ]
[ 25, 67, 1 ]
[ 25, 71, 1 ]
[ 25, 73, 1 ]
[ 25, 79, 1 ]
[ 25, 83, 1 ]
[ 25, 89, 1 ]
[ 25, 97, 1 ]
[ 26, 3, -1 ]
[ 26, 5, 1 ]
[ 26, 7, -1 ]
[ 26, 11, 1 ]
[ 26, 13, 0 ]
[ 26, 17, 1 ]
[ 26, 19, 1 ]
[ 26, 23, 1 ]
[ 26, 29, -1 ]
[ 26, 31, -1 ]
[ 26, 37, 1 ]
[ 26, 41, -1 ]
[ 26, 43, -1 ]
[ 26, 47, -1 ]
[ 26, 53, -1 ]
[ 26, 59, 1 ]
[ 26, 61, -1 ]
[ 26, 67, 1 ]
[ 26, 71, -1 ]
[ 26, 73, -1 ]
[ 26, 79, 1 ]
[ 26, 83, 1 ]
[ 26, 89, -1 ]
[ 26, 97, -1 ]
[ 27, 3, 0 ]
[ 27, 5, -1 ]
[ 27, 7, -1 ]
[ 27, 11, 1 ]
[ 27, 13, 1 ]
[ 27, 17, -1 ]
[ 27, 19, -1 ]
[ 27, 23, 1 ]
[ 27, 29, -1 ]
[ 27, 31, -1 ]
[ 27, 37, 1 ]
[ 27, 41, -1 ]
[ 27, 43, -1 ]
[ 27, 47, 1 ]
[ 27, 53, -1 ]
[ 27, 59, 1 ]
[ 27, 61, 1 ]
[ 27, 67, -1 ]
[ 27, 71, 1 ]
[ 27, 73, 1 ]
[ 27, 79, -1 ]
[ 27, 83, 1 ]
[ 27, 89, -1 ]
[ 27, 97, 1 ]
[ 28, 3, 1 ]
[ 28, 5, -1 ]
[ 28, 7, 0 ]
[ 28, 11, -1 ]
[ 28, 13, -1 ]
[ 28, 17, -1 ]
[ 28, 19, 1 ]
[ 28, 23, -1 ]
[ 28, 29, 1 ]
[ 28, 31, 1 ]
[ 28, 37, 1 ]
[ 28, 41, -1 ]
[ 28, 43, -1 ]
[ 28, 47, 1 ]
[ 28, 53, 1 ]
[ 28, 59, 1 ]
[ 28, 61, -1 ]
[ 28, 67, -1 ]
[ 28, 71, -1 ]
[ 28, 73, -1 ]
[ 28, 79, -1 ]
[ 28, 83, 1 ]
[ 28, 89, -1 ]
[ 28, 97, -1 ]
[ 29, 3, -1 ]
[ 29, 5, 1 ]
[ 29, 7, 1 ]
[ 29, 11, -1 ]
[ 29, 13, 1 ]
[ 29, 17, -1 ]
[ 29, 19, -1 ]
[ 29, 23, 1 ]
[ 29, 29, 0 ]
[ 29, 31, -1 ]
[ 29, 37, -1 ]
[ 29, 41, -1 ]
[ 29, 43, -1 ]
[ 29, 47, -1 ]
[ 29, 53, 1 ]
[ 29, 59, 1 ]
[ 29, 61, -1 ]
[ 29, 67, 1 ]
[ 29, 71, 1 ]
[ 29, 73, -1 ]
[ 29, 79, -1 ]
[ 29, 83, 1 ]
[ 29, 89, -1 ]
[ 29, 97, -1 ]
[ 30, 3, 0 ]
[ 30, 5, 0 ]
[ 30, 7, 1 ]
[ 30, 11, -1 ]
[ 30, 13, 1 ]
[ 30, 17, 1 ]
[ 30, 19, 1 ]
[ 30, 23, -1 ]
[ 30, 29, 1 ]
[ 30, 31, -1 ]
[ 30, 37, 1 ]
[ 30, 41, -1 ]
[ 30, 43, -1 ]
[ 30, 47, -1 ]
[ 30, 53, -1 ]
[ 30, 59, -1 ]
[ 30, 61, -1 ]
[ 30, 67, -1 ]
[ 30, 71, 1 ]
[ 30, 73, -1 ]
[ 30, 79, -1 ]
[ 30, 83, 1 ]
[ 30, 89, -1 ]
[ 30, 97, -1 ]
[ 31, 3, 1 ]
[ 31, 5, 1 ]
[ 31, 7, -1 ]
[ 31, 11, 1 ]
[ 31, 13, -1 ]
[ 31, 17, -1 ]
[ 31, 19, -1 ]
[ 31, 23, 1 ]
[ 31, 29, -1 ]
[ 31, 31, 0 ]
[ 31, 37, -1 ]
[ 31, 41, 1 ]
[ 31, 43, 1 ]
[ 31, 47, -1 ]
[ 31, 53, -1 ]
[ 31, 59, -1 ]
[ 31, 61, -1 ]
[ 31, 67, -1 ]
[ 31, 71, -1 ]
[ 31, 73, -1 ]
[ 31, 79, 1 ]
[ 31, 83, 1 ]
[ 31, 89, -1 ]
[ 31, 97, 1 ]
[ 32, 3, -1 ]
[ 32, 5, -1 ]
[ 32, 7, 1 ]
[ 32, 11, -1 ]
[ 32, 13, -1 ]
[ 32, 17, 1 ]
[ 32, 19, -1 ]
[ 32, 23, 1 ]
[ 32, 29, -1 ]
[ 32, 31, 1 ]
[ 32, 37, -1 ]
[ 32, 41, 1 ]
[ 32, 43, -1 ]
[ 32, 47, 1 ]
[ 32, 53, -1 ]
[ 32, 59, -1 ]
[ 32, 61, -1 ]
[ 32, 67, -1 ]
[ 32, 71, 1 ]
[ 32, 73, 1 ]
[ 32, 79, 1 ]
[ 32, 83, -1 ]
[ 32, 89, 1 ]
[ 32, 97, 1 ]
[ 33, 3, 0 ]
[ 33, 5, -1 ]
[ 33, 7, -1 ]
[ 33, 11, 0 ]
[ 33, 13, -1 ]
[ 33, 17, 1 ]
[ 33, 19, -1 ]
[ 33, 23, -1 ]
[ 33, 29, 1 ]
[ 33, 31, 1 ]
[ 33, 37, 1 ]
[ 33, 41, 1 ]
[ 33, 43, -1 ]
[ 33, 47, -1 ]
[ 33, 53, -1 ]
[ 33, 59, -1 ]
[ 33, 61, -1 ]
[ 33, 67, 1 ]
[ 33, 71, -1 ]
[ 33, 73, -1 ]
[ 33, 79, -1 ]
[ 33, 83, 1 ]
[ 33, 89, -1 ]
[ 33, 97, 1 ]
[ 34, 3, 1 ]
[ 34, 5, 1 ]
[ 34, 7, -1 ]
[ 34, 11, 1 ]
[ 34, 13, -1 ]
[ 34, 17, 0 ]
[ 34, 19, -1 ]
[ 34, 23, -1 ]
[ 34, 29, 1 ]
[ 34, 31, -1 ]
[ 34, 37, 1 ]
[ 34, 41, -1 ]
[ 34, 43, -1 ]
[ 34, 47, 1 ]
[ 34, 53, -1 ]
[ 34, 59, -1 ]
[ 34, 61, 1 ]
[ 34, 67, -1 ]
[ 34, 71, -1 ]
[ 34, 73, -1 ]
[ 34, 79, -1 ]
[ 34, 83, -1 ]
[ 34, 89, 1 ]
[ 34, 97, -1 ]
[ 35, 3, -1 ]
[ 35, 5, 0 ]
[ 35, 7, 0 ]
[ 35, 11, -1 ]
[ 35, 13, 1 ]
[ 35, 17, 1 ]
[ 35, 19, 1 ]
[ 35, 23, 1 ]
[ 35, 29, 1 ]
[ 35, 31, 1 ]
[ 35, 37, -1 ]
[ 35, 41, -1 ]
[ 35, 43, 1 ]
[ 35, 47, -1 ]
[ 35, 53, -1 ]
[ 35, 59, 1 ]
[ 35, 61, -1 ]
[ 35, 67, 1 ]
[ 35, 71, -1 ]
[ 35, 73, 1 ]
[ 35, 79, -1 ]
[ 35, 83, -1 ]
[ 35, 89, -1 ]
[ 35, 97, 1 ]
[ 36, 3, 0 ]
[ 36, 5, 1 ]
[ 36, 7, 1 ]
[ 36, 11, 1 ]
[ 36, 13, 1 ]
[ 36, 17, 1 ]
[ 36, 19, 1 ]
[ 36, 23, 1 ]
[ 36, 29, 1 ]
[ 36, 31, 1 ]
[ 36, 37, 1 ]
[ 36, 41, 1 ]
[ 36, 43, 1 ]
[ 36, 47, 1 ]
[ 36, 53, 1 ]
[ 36, 59, 1 ]
[ 36, 61, 1 ]
[ 36, 67, 1 ]
[ 36, 71, 1 ]
[ 36, 73, 1 ]
[ 36, 79, 1 ]
[ 36, 83, 1 ]
[ 36, 89, 1 ]
[ 36, 97, 1 ]
[ 37, 3, 1 ]
[ 37, 5, -1 ]
[ 37, 7, 1 ]
[ 37, 11, 1 ]
[ 37, 13, -1 ]
[ 37, 17, -1 ]
[ 37, 19, -1 ]
[ 37, 23, -1 ]
[ 37, 29, -1 ]
[ 37, 31, -1 ]
[ 37, 37, 0 ]
[ 37, 41, 1 ]
[ 37, 43, -1 ]
[ 37, 47, 1 ]
[ 37, 53, 1 ]
[ 37, 59, -1 ]
[ 37, 61, -1 ]
[ 37, 67, 1 ]
[ 37, 71, 1 ]
[ 37, 73, 1 ]
[ 37, 79, -1 ]
[ 37, 83, 1 ]
[ 37, 89, -1 ]
[ 37, 97, -1 ]
[ 38, 3, -1 ]
[ 38, 5, -1 ]
[ 38, 7, -1 ]
[ 38, 11, 1 ]
[ 38, 13, 1 ]
[ 38, 17, 1 ]
[ 38, 19, 0 ]
[ 38, 23, -1 ]
[ 38, 29, 1 ]
[ 38, 31, 1 ]
[ 38, 37, 1 ]
[ 38, 41, -1 ]
[ 38, 43, 1 ]
[ 38, 47, -1 ]
[ 38, 53, 1 ]
[ 38, 59, -1 ]
[ 38, 61, -1 ]
[ 38, 67, -1 ]
[ 38, 71, 1 ]
[ 38, 73, 1 ]
[ 38, 79, 1 ]
[ 38, 83, 1 ]
[ 38, 89, -1 ]
[ 38, 97, -1 ]
[ 39, 3, 0 ]
[ 39, 5, 1 ]
[ 39, 7, 1 ]
[ 39, 11, -1 ]
[ 39, 13, 0 ]
[ 39, 17, -1 ]
[ 39, 19, 1 ]
[ 39, 23, 1 ]
[ 39, 29, -1 ]
[ 39, 31, 1 ]
[ 39, 37, -1 ]
[ 39, 41, 1 ]
[ 39, 43, -1 ]
[ 39, 47, -1 ]
[ 39, 53, -1 ]
[ 39, 59, -1 ]
[ 39, 61, 1 ]
[ 39, 67, 1 ]
[ 39, 71, -1 ]
[ 39, 73, -1 ]
[ 39, 79, -1 ]
[ 39, 83, -1 ]
[ 39, 89, 1 ]
[ 39, 97, -1 ]
[ 40, 3, 1 ]
[ 40, 5, 0 ]
[ 40, 7, -1 ]
[ 40, 11, -1 ]
[ 40, 13, 1 ]
[ 40, 17, -1 ]
[ 40, 19, -1 ]
[ 40, 23, -1 ]
[ 40, 29, -1 ]
[ 40, 31, 1 ]
[ 40, 37, 1 ]
[ 40, 41, 1 ]
[ 40, 43, 1 ]
[ 40, 47, -1 ]
[ 40, 53, 1 ]
[ 40, 59, -1 ]
[ 40, 61, -1 ]
[ 40, 67, 1 ]
[ 40, 71, 1 ]
[ 40, 73, -1 ]
[ 40, 79, 1 ]
[ 40, 83, 1 ]
[ 40, 89, 1 ]
[ 40, 97, -1 ]
[ 41, 3, -1 ]
[ 41, 5, 1 ]
[ 41, 7, -1 ]
[ 41, 11, -1 ]
[ 41, 13, -1 ]
[ 41, 17, -1 ]
[ 41, 19, -1 ]
[ 41, 23, 1 ]
[ 41, 29, -1 ]
[ 41, 31, 1 ]
[ 41, 37, 1 ]
[ 41, 41, 0 ]
[ 41, 43, 1 ]
[ 41, 47, -1 ]
[ 41, 53, -1 ]
[ 41, 59, 1 ]
[ 41, 61, 1 ]
[ 41, 67, -1 ]
[ 41, 71, -1 ]
[ 41, 73, 1 ]
[ 41, 79, -1 ]
[ 41, 83, 1 ]
[ 41, 89, -1 ]
[ 41, 97, -1 ]
[ 42, 3, 0 ]
[ 42, 5, -1 ]
[ 42, 7, 0 ]
[ 42, 11, 1 ]
[ 42, 13, 1 ]
[ 42, 17, 1 ]
[ 42, 19, 1 ]
[ 42, 23, -1 ]
[ 42, 29, 1 ]
[ 42, 31, -1 ]
[ 42, 37, -1 ]
[ 42, 41, 1 ]
[ 42, 43, -1 ]
[ 42, 47, 1 ]
[ 42, 53, 1 ]
[ 42, 59, -1 ]
[ 42, 61, 1 ]
[ 42, 67, -1 ]
[ 42, 71, -1 ]
[ 42, 73, -1 ]
[ 42, 79, 1 ]
[ 42, 83, -1 ]
[ 42, 89, 1 ]
[ 42, 97, -1 ]
[ 43, 3, 1 ]
[ 43, 5, -1 ]
[ 43, 7, 1 ]
[ 43, 11, -1 ]
[ 43, 13, 1 ]
[ 43, 17, 1 ]
